id;cnae3;dcnae_agr3;provincia;anio;gradvinc;noprotra;noprovin;volneg;fact;num_bancos;pmc;target
129044;452;MANTENIMIENTO Y REPARACION DE VEHICULOS DE MOTOR;28;1986;4;1;0;0;4145.95;2;88.86;0
787251;471;COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS;30;2011;5;0;0;0;;;;0
95990;321;FABRICACION DE ARTICULOS DE JOYERIA. BISUTERIA Y SIMILARES;29;1992;5;0;0;0;;;;0
278734;451;VENTA DE VEHICULOS DE MOTOR;08;2005;5;0;0;234;;;4.26;0
347535;561;RESTAURANTES Y PUESTOS DE COMIDAS;28;2010;4;1;0;0;;;;0
610465;467;OTRO COMERCIO AL POR MAYOR ESPECIALIZADO;22;2008;5;0;0;0;;;;0
722867;711;SERVICIOS TECNICOS DE ARQUITECTURA E INGENIERIA Y OTRAS ACTIVIDADES;28;2022;2;3;0;54824.78;;;;0
352457;475;COMERCIO AL POR MENOR DE OTROS ARTICULOS DE USO DOMESTICO EN ESTABLECIMIENTOS ESPECIALIZADOS;36;2009;5;0;0;0;;;;0
850733;477;COMERCIO AL POR MENOR DE OTROS ARTICULOS EN ESTABLECIMIENTOS ESPECIALIZADOS;08;2013;5;0;0;0;9452.4;1;;0
822220;493;OTRO TRANSPORTE TERRESTRE DE PASAJEROS;03;1999;2;4;0;16589.22;;;;1
558925;812;ACTIVIDADES DE LIMPIEZA;27;2006;5;0;0;0;;;79.01;0
694542;494;TRANSPORTE DE MERCANCIAS POR CARRETERA Y SERVICIOS DE MUDANZA;46;2017;4;1;0;16.15;;;0.18;0
137855;750;ACTIVIDADES VETERINARIAS;06;2000;1;2;2;5734.52;2868.74;1;;0
629159;681;COMPRAVENTA DE BIENES INMOBILIARIOS POR CUENTA PROPIA;28;2009;1;2;1;32355.63;;;84.72;0
234261;431;DEMOLICION Y PREPARACION DE TERRENOS;08;2000;5;0;0;0;;;;0
713681;473;COMERCIO AL POR MENOR DE COMBUSTIBLE PARA LA AUTOMOCION EN ESTABLECIMIENTOS ESPECIALIZADOS;43;2019;1;4;4;930029.74;;;;1
633065;620;PROGRAMACION. CONSULTORIA Y OTRAS ACTIVIDADES RELACIONADAS CON LA INFORMATICA;46;2014;1;6;7;916582.9;;;75.01;0
810586;682;ALQUILER DE BIENES INMOBILIARIOS POR CUENTA PROPIA;08;2003;4;1;1;93405.43;;;;0
571470;461;INTERMEDIARIOS DEL COMERCIO;29;2010;5;0;0;0;;;;0
509354;466;COMERCIO AL POR MAYOR DE OTRA MAQUINARIA. EQUIPOS Y SUMINISTROS;48;2003;5;0;0;0;;;533.43;0
440071;464;COMERCIO AL POR MAYOR DE PRODUCTOS DE USO DOMESTICO;12;2010;5;0;0;0;;;;0
680718;015;PRODUCCION AGRICOLA COMBINADA CON PRODUCCION GANADERA;49;2011;1;2;1;16942.63;;;;0
836345;551;HOTELES Y ALOJAMIENTOS SIMILARES;41;2001;2;2;0;119.18;;;21.28;0
671008;475;COMERCIO AL POR MENOR DE OTROS ARTICULOS DE USO DOMESTICO EN ESTABLECIMIENTOS ESPECIALIZADOS;08;2012;1;3;2;3931.89;;;40.71;0
513260;329;INDUSTRIAS MANUFACTURERAS N.C.O.P.;09;1996;5;0;1;0;30.33;1;38.98;0
401208;561;RESTAURANTES Y PUESTOS DE COMIDAS;04;1996;4;1;0;0;;;;0
